family,run_name,seed,best_metrics.test/accuracy,best_metrics.test/f1,best_metrics.test/mcc,best_metrics.test/pr_auc,best_metrics.test/precision,best_metrics.test/recall,best_metrics.test/roc_auc,best_metrics.val/accuracy,best_metrics.val/f1,best_metrics.val/mcc,best_metrics.val/pr_auc,best_metrics.val/precision,best_metrics.val/recall,best_metrics.val/roc_auc,parameter_size_bytes,benchmark.latency_mean_seconds,benchmark.latency_std_seconds,benchmark.peak_memory_bytes
Transformer-reconstruction-quant,114-lay2-mod64-lat4-ff196,44,0.7761149,0.77789223,0.5570043,0.88436955,0.8232516,0.73727024,0.8536444,0.77299076,0.77770245,0.54856235,0.89557254,0.81138414,0.7467057,0.8501583,385268,0.0015152824,5.834749e-05,230400
Transformer-reconstruction-quant,115-lay2-mod64-lat8-ff196,42,0.57636577,0.7077465,0.1817226,0.7883017,0.5589122,0.9646169,0.72128975,0.54602474,0.69479746,0.08300059,0.80964434,0.54071426,0.9716935,0.7213167,385796,0.0013777257,3.522494e-05,230400
Transformer-reconstruction-quant,115-lay2-mod64-lat8-ff196,43,0.72749686,0.7035294,0.48265615,0.84131527,0.834636,0.6080202,0.7790308,0.7358768,0.7081262,0.5054189,0.8425438,0.85868305,0.602489,0.7539128,385796,0.001365473,2.7945462e-05,230400
Transformer-reconstruction-quant,115-lay2-mod64-lat8-ff196,44,0.5320299,0.6944217,0.015166783,0.7933384,0.5319112,0.99991864,0.71877885,0.5317934,0.6943409,0.0,0.7928208,0.5317934,1.0,0.6799975,385796,0.001360511,3.334666e-05,230400
Transformer-reconstruction-quant,116-lay2-mod64-lat12-ff196,42,0.600718,0.71173847,0.22169785,0.8259966,0.5776268,0.92695624,0.767116,0.57751536,0.6971379,0.15868217,0.8326731,0.5633175,0.9143485,0.75373185,386324,0.0013600257,4.6224774e-05,230400
Transformer-reconstruction-quant,116-lay2-mod64-lat12-ff196,43,0.5317704,0.6943213,0.0,0.76368123,0.5317704,1.0,0.6487354,0.5318367,0.6943605,0.007009499,0.7931715,0.5318164,1.0,0.66863674,386324,0.0013660478,9.657924e-05,230400
Transformer-reconstruction-quant,116-lay2-mod64-lat12-ff196,44,0.5318137,0.69427186,0.0034536088,0.7965622,0.53180444,0.9996746,0.7217333,0.5318799,0.6943801,0.009913143,0.81643397,0.53183943,1.0,0.7181552,386324,0.0013652577,3.5054476e-05,230400
Transformer-reconstruction-quant,117-lay2-mod64-lat16-ff196,42,0.53172714,0.69428444,-0.0061715213,0.7734808,0.53175014,0.99991864,0.6925078,0.5317934,0.6943409,0.0,0.79649264,0.5317934,1.0,0.69637036,386852,0.0013522378,5.578495e-05,230400
Transformer-reconstruction-quant,117-lay2-mod64-lat16-ff196,43,0.5315974,0.6941738,-0.0123438435,0.72336596,0.5316894,0.9996746,0.61354136,0.5317934,0.6943409,0.0,0.7477861,0.5317934,1.0,0.6159745,386852,0.0013649453,0.000100946374,230400
Transformer-reconstruction-quant,117-lay2-mod64-lat16-ff196,44,0.5608374,0.70109224,0.1367288,0.8132843,0.54939324,0.96852124,0.75446737,0.5485769,0.694943,0.090671,0.8161367,0.5423891,0.96689445,0.7298506,386852,0.0013613831,2.846915e-05,230400
Transformer-reconstruction-quant,118-lay2-mod64-lat2-ff128,42,0.7936329,0.79660654,0.59098667,0.91073555,0.8369614,0.7599642,0.87114954,0.80435157,0.8033051,0.61636734,0.9144268,0.8630969,0.75126076,0.8745396,349100,0.0015793445,5.2786378e-05,230400
Transformer-reconstruction-quant,118-lay2-mod64-lat2-ff128,43,0.7777153,0.7919349,0.55338055,0.90025353,0.78839177,0.79551,0.8653626,0.79496497,0.8055145,0.5888592,0.91665685,0.8127173,0.79843825,0.8824004,349100,0.0014713905,2.3791572e-05,230400
Transformer-reconstruction-quant,118-lay2-mod64-lat2-ff128,44,0.7937627,0.78098303,0.61018425,0.8964069,0.8971085,0.6914755,0.8538287,0.79864174,0.78244615,0.6263341,0.89995784,0.91958696,0.6809012,0.8501345,349100,0.0015530142,2.9553741e-05,230400
