family,run_name,seed,best_epoch,total_epochs,best_metrics.test/accuracy,best_metrics.test/f1,best_metrics.test/mcc,best_metrics.test/pr_auc,best_metrics.test/precision,best_metrics.test/recall,best_metrics.test/roc_auc,best_metrics.val/accuracy,best_metrics.val/f1,best_metrics.val/mcc,best_metrics.val/pr_auc,best_metrics.val/precision,best_metrics.val/recall,best_metrics.val/roc_auc,best_metrics.train/loss,last_metrics.train/loss,parameter_count,benchmark.latency_mean_seconds,benchmark.latency_std_seconds,benchmark.peak_memory_bytes
Transformer-reconstruction,121-lay2-mod96-lat8-ff196,44,80,110,0.82693887,0.8318413,0.655544,0.9345291,0.8605966,0.8049455,0.9102205,0.82489836,0.82734793,0.65376323,0.9317328,0.8697095,0.7889214,0.9053681,0.0064542936,0.0054107215,310131,0.0014172698,3.612141e-05,230400
Transformer-reconstruction,122-lay2-mod96-lat12-ff196,42,20,110,0.75582856,0.78880614,0.51297987,0.9098448,0.7303083,0.85749143,0.8768687,0.75547194,0.787089,0.5112291,0.9073649,0.7329031,0.84992677,0.87276375,0.020353995,0.0016887313,310903,0.0014159526,3.831606e-05,230400
Transformer-reconstruction,122-lay2-mod96-lat12-ff196,43,70,110,0.7928111,0.8090416,0.58334494,0.91268456,0.79335415,0.82536197,0.88126355,0.7859244,0.8009332,0.5696221,0.9106877,0.79223365,0.80982596,0.8791303,0.0026146728,0.0017427509,310903,0.0014126891,3.2267308e-05,230400
Transformer-reconstruction,122-lay2-mod96-lat12-ff196,44,70,110,0.7733899,0.79645675,0.5447978,0.9106354,0.76236516,0.83374006,0.8764297,0.77225536,0.7958907,0.5426232,0.90984684,0.76031405,0.83496016,0.87578565,0.0033171314,0.0017012082,310903,0.0014150466,3.8335114e-05,230400
Transformer-reconstruction,123-lay2-mod96-lat16-ff196,42,30,110,0.7831221,0.78665644,0.5695902,0.90402716,0.824768,0.7519115,0.8662446,0.7897742,0.7935078,0.5826901,0.90426236,0.83063513,0.7595575,0.8641662,0.015226673,0.0009941946,311675,0.0014313716,3.4554014e-05,230400
Transformer-reconstruction,123-lay2-mod96-lat16-ff196,43,60,110,0.80622,0.81168556,0.6140391,0.9109416,0.83985734,0.78534245,0.8708741,0.8001125,0.8036708,0.60340947,0.90720344,0.84123456,0.76931834,0.86446136,0.0030808584,0.001090248,311675,0.0014167406,3.145911e-05,230400
Transformer-reconstruction,123-lay2-mod96-lat16-ff196,44,100,110,0.80098623,0.8080117,0.6026052,0.9117633,0.82957757,0.78753865,0.8798868,0.7950947,0.79966164,0.5926287,0.906855,0.8328782,0.768993,0.8684308,0.0010382666,0.0010105483,311675,0.0014189298,3.3007786e-05,230400
Transformer-reconstruction,124-lay2-mod96-lat2-ff196,42,50,110,0.82213765,0.82511055,0.6477435,0.9249898,0.8646818,0.7890028,0.8913889,0.82273555,0.82617915,0.64849305,0.9242095,0.86323345,0.79217505,0.88941884,0.12758194,0.09234792,308973,0.00154863,3.9453098e-05,230400
Transformer-reconstruction,124-lay2-mod96-lat2-ff196,43,110,110,0.81984514,0.82275844,0.6432407,0.926752,0.86273986,0.78631854,0.89221406,0.82303834,0.8248191,0.65075195,0.9276333,0.8708744,0.7833903,0.8935317,0.0916818,0.0916818,308973,0.0018414714,3.9821294e-05,230400
Transformer-reconstruction,124-lay2-mod96-lat2-ff196,44,100,110,0.8310481,0.8284434,0.6723869,0.9285523,0.90042007,0.76712215,0.8944807,0.8318626,0.8294652,0.673753,0.92765415,0.9003715,0.76891166,0.89212626,0.09023733,0.08923905,308973,0.0017252574,4.0271065e-05,230400
